rna_cond1_S1	rna_cond1_S2	rna_cond1_S3	rna_cond1_S4	rna_cond2_S1	rna_cond2_S2	rna_cond2_S3	rna_cond2_S4
29	5	21	8	28	15	17	9
1413	3074	2103	1878	1415	2202	1581	2042
232	155	114	140	242	145	85	111
34	68	87	40	85	52	43	26
953	409	214	517	1416	805	551	1242
1270	1295	1671	1686	1313	565	1096	1262
11231	18382	37446	25726	44229	22418	13983	26214
3725	6652	4384	7956	3931	2525	3393	3033
240	350	329	351	202	711	590	445
5188	8449	1786	2950	4894	6735	6182	6568
2076	10055	35430	107445	673	1849	2772	5277
69	127	193	159	123	104	33	198
387	428	740	600	166	240	61	134
154	634	510	342	205	490	733	441
143	336	202	142	201	187	244	138
10	1	10	3	27	4	9	20
696	198	322	737	503	443	259	559
205	180	84	97	1181	502	333	396
8	8	29	12	13	13	18	27
85	176	237	197	68	48	82	61
335	420	637	175	990	433	726	565
71	74	55	55	38	43	33	51
949	2874	13010	46767	289	551	2788	4607
274	370	397	378	332	218	326	296
1045	828	567	505	1307	1075	1459	514
1737	1903	946	1540	776	746	473	2012
3564	4423	6043	2213	3899	1489	1534	3521
319	377	611	743	244	558	1380	460
1010	5230	10735	8985	2441	6490	10912	125303
299	406	170	59	65	146	155	105
235	167	214	229	138	100	245	150
401	843	369	901	523	587	932	765
232	189	433	114	165	141	464	177
188	131	84	38	114	77	98	53
1762	761	864	339	854	782	303	681
58	78	88	71	228	101	98	174
1661	1463	1283	909	1612	1234	337	1097
118	49	85	112	73	109	146	200
4566	4231	28896	25973	430	1972	1053	2603
151	140	37	88	108	67	96	117
318	176	176	772	358	148	228	240
83	66	20	58	25	22	5	6
245	185	366	474	1832	1081	660	864
4	4	13	16	9	4	1	17
66	78	248	786	4	29	41	355
852	1017	451	210	585	835	986	1276
53	16	35	38	31	23	19	31
888	1473	1340	2077	4689	812	795	1291
227	401	300	300	603	333	442	369
7	2	2	7	2	6	5	2
22	44	244	336	5	13	32	235
841	600	3359	1880	2142	2399	3577	3687
305	1587	1559	6626	84	140	971	2156
532	315	369	356	393	348	194	50
125	142	144	159	35	139	122	121
409	338	675	209	402	530	496	314
1289	2215	1081	1072	515	538	1073	1015
16	35	21	14	1	0	2	4
14	8	6	11	11	7	18	8
38	28	39	34	20	28	29	38
138	243	245	230	101	283	143	85
878	5689	17715	45897	2303	70951	11701	206909
9	13	5	9	11	13	9	3
228	225	172	118	274	370	200	348
149	158	119	91	115	43	163	141
94	289	600	344	1261	1311	900	2632
12	14	51	30	30	21	16	18
388	1087	709	1072	702	692	230	668
0	8	13	16	17	17	3	6
17	17	20	6	7	10	7	4
473	614	1430	637	1174	1721	1120	362
478	1173	703	978	1391	1649	1120	1194
120	79	161	114	124	39	55	70
2333	1378	2498	2911	3598	919	2528	4350
7017	1157	1491	2459	1236	740	922	1447
972	361	1243	910	762	650	656	1041
871	1232	4322	16639	5079	7356	33072	58772
1196	1646	2465	1287	2167	2390	1896	609
1210	826	1440	1032	1274	661	573	1114
2251	1031	1460	1443	1278	8451	2993	8000
1783	3589	3825	1285	377	397	845	2353
276	250	438	776	570	1160	915	411
1261	3943	1099	1478	1719	3070	3120	1492
106	41	130	94	5	2	15	18
105	64	166	27	36	102	96	83
11	12	6	12	47	14	26	8
247	244	319	293	482	276	773	344
621	906	1053	784	630	672	321	1091
360	464	710	432	755	470	216	247
740	873	708	1310	787	1007	673	1587
3779	2173	2562	3063	823	1227	1162	939
2014	2008	1611	965	2831	1703	2089	1468
238	195	156	138	120	218	70	169
16	10	41	19	102	171	62	34
63	62	67	72	44	82	47	60
492	302	140	462	29	90	473	191
456	1228	842	741	601	812	578	1277
643	1256	2549	915	1183	4291	3777	5016
1709	561	792	1814	644	872	816	1561
25	25	21	11	12	23	6	31
464	1391	679	548	1479	493	1084	1374
1108	3122	1919	1071	3315	1961	1244	1935
2284	2344	18994	29223	8452	23908	66760	64053
6	18	12	14	15	5	12	16
2535	1525	3829	1815	1516	2147	1780	1559
23157	25658	4849	12685	9179	12178	11804	32433
862	4707	15541	17289	6379	24199	41422	69686
89	157	259	47	282	212	198	240
361	2755	3699	10113	116	239	1247	1036
1471	1913	847	1659	1610	1675	432	1809
8918	53786	26610	72917	167992	166605	158816	115635
212	494	185	378	306	255	174	75
20	0	80	0	12	51	23	382
20	27	22	22	28	60	17	76
5	13	6	16	8	10	10	15
1817	1753	1824	1380	1203	1329	324	2424
34	56	58	20	53	31	64	30
486	231	1355	4416	416	1469	1612	10338
1182	460	614	443	468	715	768	1058
17	16	25	16	17	9	9	33
55	31	35	54	74	37	50	48
860	1755	1319	712	272	1077	1038	187
1919	1860	3245	2011	1424	2259	921	1222
514	530	854	582	1204	1857	869	2266
1524	2168	759	850	1132	1228	2383	2219
345	353	179	495	262	212	876	142
956	1506	3848	1586	4437	3015	947	2308
671	518	604	397	2164	838	1136	272
8	14	15	16	27	20	18	4
83	64	99	35	47	20	64	36
42	176	176	161	55	129	171	211
638	565	381	688	1066	393	477	529
1878	2487	1668	1851	2421	1330	2143	1537
263	239	249	326	331	261	209	203
280	271	446	150	703	149	177	484
10	12	5	13	11	8	20	30
1730	4109	1008	3756	1900	1350	1767	3410
1720	1227	731	2149	1815	1702	1071	1805
623	435	421	338	401	730	906	611
1479	2109	1907	1726	1647	4172	1509	2178
97	131	61	48	41	99	74	105
220	720	354	230	502	692	327	287
321	458	817	457	120	51	83	102
14	23	11	27	17	34	43	43
517	1171	953	593	205	318	652	494
1156	1265	604	799	1196	664	1519	877
8195	6696	8421	23196	3843	21327	5367	13156
503	241	317	382	176	536	156	188
5	12	3	6	1	2	12	3
280	358	287	407	478	485	337	110
306	452	690	753	451	521	603	446
324	230	219	176	174	110	93	256
2528	6353	4983	1872	4122	4824	3621	4289
143	242	542	602	176	52	270	318
37	19	19	28	33	72	50	36
100	70	163	190	123	189	220	101
52	36	73	12	95	218	120	272
7	32	104	381	139	378	2209	4136
1128	1020	406	699	513	1991	987	622
34	46	72	51	27	135	68	40
9	9	3	1	6	8	6	16
226	1043	1281	7260	12	125	339	289
703	1101	722	428	6332	4048	5952	3092
183	58	70	99	87	316	133	325
14	6	8	5	2	14	14	7
4	12	3	3	14	0	14	16
39	120	31	61	190	106	128	92
1297	1479	717	2761	1429	1019	2052	2351
1836	2899	1824	1717	2085	1511	1309	1006
263	103	227	308	147	127	268	148
153	220	207	130	42	37	62	42
1013	500	709	349	734	390	140	614
85	32	373	1191	23	30	47	273
2274	2624	3438	3000	7891	4493	6074	6599
271	188	158	321	203	274	656	210
504	552	649	434	907	674	1128	686
140	362	217	117	804	415	509	226
4	6	5	5	0	0	0	0
3301	2501	1713	3077	2515	1480	2341	4908
224	356	217	390	86	42	116	266
264	297	437	328	615	607	888	851
1	2	10	10	7	1	2	3
112	422	345	763	304	215	128	958
1303	698	897	724	776	803	582	1513
69	117	85	87	232	227	233	147
10	13	7	4	16	2	7	12
1	11	2	16	2	6	4	4
1681	2282	1728	3396	2063	2469	3637	1326
643	703	1045	684	534	476	833	186
265	617	977	359	857	831	301	141
1251	1853	685	1066	895	273	491	1139
242	76	143	288	441	237	359	168
81	152	203	163	115	229	168	108
44	71	31	28	23	42	27	29
6105	3525	3988	5208	4033	1412	5246	5309
3092	1625	3723	7822	2025	3073	17277	5583
127	169	82	114	108	51	130	59
9380	5453	4488	13058	2485	6852	4103	7256
216	191	83	100	47	166	152	103
857	659	392	1324	9452	4178	3523	2747
17	5	39	13	22	20	18	21
231	232	668	504	355	605	277	566
2308	650	1491	876	1077	972	3804	1363
143	33	96	73	80	78	77	84
192	180	190	737	361	277	389	238
363323	1265540	2224200	11403888	2321581	5922176	26416860	28528724
764	304	1071	912	831	991	606	510
8940	7889	4382	6190	6246	6708	1302	6504
0	0	0	6	6	9	8	10
181	161	593	215	432	233	388	147
108	108	253	230	236	268	105	169
30	179	108	79	76	93	87	51
109	118	105	97	178	154	196	320
967	1378	533	1811	396	671	832	719
54	72	71	102	156	179	190	70
46	19	40	40	51	10	39	24
260	418	80	360	342	299	437	329
419	470	651	532	3555	4267	4328	2742
7	54	93	384	41	26	293	582
4479	20889	19335	33388	448	2366	1448	19602
28	30	32	14	29	8	8	18
3314	5619	1353	4055	1360	1049	6224	893
221	759	736	605	817	134	585	411
149	88	91	184	46	166	114	155
433	141	342	182	147	327	179	57
8	3	7	4	5	26	6	12
678	1209	1616	1200	1986	1342	1977	2722
72	92	66	108	90	81	100	56
475	777	1416	893	99	711	963	685
938	1357	764	160	1745	1553	2816	815
27	38	33	9	24	18	22	40
1048	1711	1419	1720	811	254	671	1441
375	150	323	254	224	453	285	313
2992	802	1368	1657	2643	1754	3948	2453
12	27	19	14	9	15	8	6
39	66	82	64	19	40	38	49
9	11	7	2	9	8	1	4
36	11	5	10	6	21	5	3
304	2156	2578	7706	152	348	1653	3837
336	1238	1076	1180	3401	3796	2830	1133
1694	3058	1947	2956	2205	1304	856	2205
81	90	84	65	90	97	46	226
3	4	6	3	21	5	4	7
97	502	888	1910	495	2416	2483	15267
177	264	350	131	2915	3290	1198	3656
341	222	87	222	1112	117	1529	463
208	451	276	512	605	1113	1623	1313
6	7	13	0	20	12	8	10
172	99	89	60	99	76	108	89
1042	1023	992	1187	1465	608	1217	1483
1391	1071	1810	1107	902	1161	871	487
223	153	85	186	92	52	142	120
278	227	288	310	305	175	127	374
73	187	144	331	238	691	179	1627
197	87	166	266	160	270	331	211
568	208	499	880	205	279	178	200
1126	288	396	548	701	347	773	501
473	385	683	708	776	101	812	331
0	5	11	0	16	19	17	14
1955	475	675	664	881	4356	1655	2280
490	3325	8722	18993	3571	13297	28899	39716
506	558	582	496	375	237	414	361
176	44	83	68	131	76	30	84
142	189	326	122	232	236	312	140
1953	2067	1160	3027	1130	812	1865	2375
143	73	47	59	74	31	95	70
100	74	147	103	470	261	301	261
163	481	332	222	230	125	476	295
383	265	173	257	402	429	241	141
297	157	99	187	184	131	330	280
8903	3889	3085	4725	1662	4858	8333	4248
1733	2121	1908	3293	1890	1900	559	1323
159	227	190	156	438	73	154	424
61	45	63	61	59	67	51	48
938	2861	3518	1204	2750	1738	1827	1598
229	3423	4417	11975	233	633	979	786
4402	2509	1590	1901	846	460	456	1293
156	105	230	196	91	113	137	116
7456	7732	2757	7872	5602	16418	9769	4255
59	96	37	20	84	42	46	13
3	19	10	11	6	17	14	7
83	46	105	39	66	59	85	142
381	144	442	270	88	85	332	169
158359	289225	358695	121479	176330	287080	261142	265755
84	47	186	145	73	32	114	55
444	407	552	590	1455	2136	1140	1368
221	125	121	178	117	181	79	93
159	17	114	77	163	215	68	183
2071	2811	798	638	2623	2279	1621	964
271	567	295	225	315	303	503	136
90	127	65	92	68	36	90	21
60	227	434	771	8	12	47	317
2384	661	2755	3959	979	3860	4297	2218
1630	1586	543	434	878	360	563	876
127	187	115	71	223	66	128	119
143	195	239	198	68	287	483	188
1916	2669	2081	2869	1038	2883	989	2314
4	2	10	7	1	4	7	9
68	24	32	50	72	34	37	43
374	33	142	60	215	122	115	112
181	323	321	702	555	1299	2502	1347
2809	2629	6688	5589	5525	16859	12999	17182
16	19	15	34	22	16	21	41
83	52	186	124	46	33	113	33
21151	32128	12694	42167	36065	3647	31352	13303
131	137	44	59	86	99	44	112
117	650	74	243	139	131	135	134
30	10	29	52	21	7	10	3
213	387	88	111	154	219	184	179
241	212	188	143	84	145	301	144
139	166	108	76	36	121	76	48
149	282	266	338	360	591	534	655
308	759	293	1033	723	870	946	387
2316	1969	1156	1710	2268	581	1622	2587
12	4	8	0	4	7	5	0
20	29	29	18	18	16	39	34
153	120	35	178	175	158	171	214
423	787	430	2392	3945	1549	1279	5436
4960	5767	1811	2161	2636	6162	4959	4850
15	11	28	36	32	40	92	50
41	39	14	42	6	3	3	7
124	338	378	752	612	451	635	214
6705	7452	7732	3028	4507	3489	10636	7408
5700	5434	3198	3709	1607	5067	2551	1104
341	247	374	184	419	131	836	441
351	314	261	179	285	266	295	333
537	754	843	789	564	482	707	463
142	131	179	146	83	141	114	134
892	453	561	390	870	674	406	368
1279	2907	2224	1844	152	326	522	964
418	930	646	708	486	401	360	605
2110	3513	729	2651	1253	628	1785	683
1601	1126	2778	1208	1234	2456	2020	3748
558	240	555	437	370	602	301	1035
227	130	227	107	186	287	101	175
1221	4026	2319	2971	1069	514	1689	1337
19	14	27	33	57	43	11	17
1431	1538	1115	737	1071	1941	570	1624
50	126	48	67	32	31	97	86
27	38	5	14	5	23	7	29
250	444	1139	3605	63	54	218	831
81	13	36	53	32	71	31	30
622	1155	1176	853	3253	925	2721	469
33	9	40	33	64	21	47	26
207	134	200	170	24	299	264	131
2132	449	909	970	285	353	124	472
26	108	140	65	22	38	81	153
39	12	22	20	33	13	41	23
419	217	328	371	708	122	457	787
449	539	677	794	379	281	859	308
49	40	26	16	57	49	22	64
536	453	321	279	820	548	336	1449
85	76	222	115	155	112	147	269
104	150	278	85	358	325	272	105
3711	39543	188700	365839	4596	15695	54459	216401
26	4	7	18	38	18	13	20
112	336	1445	2983	367	855	5604	15264
8	4	5	1	13	1	7	3
61	44	80	107	173	244	147	87
16	31	26	34	16	13	7	14
376	239	517	434	722	477	162	235
188	163	298	127	242	159	123	149
193	294	407	165	170	385	104	224
776	712	300	710	430	714	468	589
2466	2387	3493	2764	4801	1849	1557	2577
546	211	200	593	244	133	272	138
2112	1402	3687	2111	2445	739	1676	1979
1172	1549	776	2240	8293	15263	5409	7639
713	937	503	1021	665	1221	507	676
2366	3292	1523	2514	3569	3761	4501	2710
1410	1044	1205	1173	1824	414	1775	848
208	185	527	417	1621	816	1305	1242
62	35	93	71	37	48	52	80
82	174	153	71	106	55	54	9
132	69	211	63	96	53	71	84
870	592	456	668	804	633	756	779
4218	5644	8651	12838	3548	6677	9102	4267
16	6	0	15	0	9	0	1
235	205	152	277	222	101	108	336
33	22	28	47	36	26	34	30
305	576	341	667	315	407	349	136
622	1152	817	548	1096	567	553	1131
72	463	197	101	201	361	145	141
13	15	8	17	27	21	16	3
1153	2350	1030	1004	1572	3583	625	3155
119	162	155	17	40	135	85	114
1557	678	586	1391	586	522	832	917
74	24	34	7	9	4	12	4
115	396	175	95	83	121	64	115
1810	3192	2474	975	1756	1053	573	1018
617	703	1091	575	926	709	501	563
2	8	3	3	10	5	6	2
37	137	46	177	511	1223	1158	248
476	335	246	262	300	292	410	230
3811	1967	3229	5958	4249	5462	4003	3837
3470	3282	2028	1596	576	565	1170	1712
9426	15428	8717	12565	11652	8550	19810	12748
60	37	9	15	51	27	26	21
1437	1753	1365	634	773	866	374	358
181	254	78	135	299	337	233	181
4	2	7	5	9	6	2	15
6	20	9	9	13	44	26	7
78	57	127	111	80	64	77	83
1452	1330	1299	4631	1951	918	786	2795
498	2320	1816	664	956	1126	1929	1578
402	823	248	462	1616	1845	1709	668
2194	2159	1024	1157	2260	2180	1075	3057
158	46	115	150	81	255	144	264
855	955	1072	1074	680	744	2480	1053
16	11	4	10	28	9	19	12
53	19	14	46	42	43	82	26
431	303	504	217	287	620	320	406
115	139	128	76	306	269	757	733
44	45	53	105	4	10	14	8
544	429	930	1098	682	1067	1573	1810
5	11	14	21	2	10	12	8
45	67	37	24	58	20	42	101
183	97	83	51	67	70	149	281
47	16	22	16	16	31	53	23
169	704	2470	5090	48	135	347	743
2595	2651	1292	2061	3276	2712	4211	3038
9	24	3	5	22	8	27	21
24	35	47	12	39	25	24	12
61	234	572	1756	237	1225	4741	3370
645	2803	6786	5632	2624	7529	21232	82626
229	288	284	66	462	458	443	782
715	704	1602	1191	1236	666	1127	1045
3	7	3	9	5	15	6	8
473	929	1718	733	3543	1856	6772	4371
690	398	801	360	523	1195	699	1675
307	154	321	343	516	230	176	267
1340	3642	4267	2224	1550	1317	541	1373
1639	6364	5098	1499	3704	2326	4136	4720
27	41	48	19	53	15	28	20
391	389	459	333	257	497	171	320
466	688	675	413	431	304	554	655
3190	2293	2594	4168	9376	7147	4264	7766
911	1076	1022	762	982	2319	703	1045
695	395	688	750	521	446	246	212
793	1340	293	940	627	799	803	387
71	49	146	70	26	84	41	141
57	30	19	38	33	73	17	16
345	232	504	144	650	542	253	634
402	369	313	189	154	300	211	228
1427	2108	2077	16311	2845	12642	26921	30967
17	20	20	13	6	10	7	12
1088	698	1293	1163	770	809	1376	1047
124	370	327	289	134	86	503	410
9	0	0	10	5	0	6	5
270	228	310	134	103	100	513	131
135	171	234	318	566	224	168	250
327	185	115	169	102	307	156	77
824	1457	2024	2380	1209	913	756	1406
1842	1620	2098	3065	1637	4472	1447	1155
2531	1225	1913	2263	4040	2265	5715	3312
1634	3145	1213	593	2593	822	1734	3119
37	75	31	35	100	79	86	63
81	110	150	82	65	170	48	60
31	69	54	35	24	20	20	7
71	60	23	110	352	103	61	155
3762	2242	669	1746	1527	2119	1035	613
753	1062	702	432	660	794	617	733
8	7	0	2	5	3	9	3
237	733	742	2107	59	92	498	1979
75	36	22	27	28	24	21	33
208	646	357	247	403	1150	145	312
75	173	178	120	318	169	101	115
2227	2666	1264	1270	1152	1138	5965	3750
173	143	92	180	374	148	371	171
3250	11491	18824	33973	9868	49329	97027	201789
1124	1035	111	360	226	344	336	235
314	302	350	322	607	300	233	630
5564	2163	1578	3035	3064	5644	1702	2289
567	512	387	979	2407	2360	1150	1171
173	259	174	126	92	182	221	90
311	350	200	257	132	41	123	131
153	136	83	224	389	68	80	123
14	7	3	3	10	47	39	30
536741	367323	300316	486308	625559	981623	941099	572619
375	527	175	520	185	23	115	196
12	11	14	15	8	12	7	15
299	375	1194	392	496	1283	788	1038
4	7	18	10	4	7	17	11
335	335	59	368	125	70	176	522
212	265	145	112	61	255	222	46
40	24	71	46	38	57	57	87
221	200	264	135	250	396	481	509
81	69	86	121	162	218	247	160
578	2318	933	2056	822	2373	2959	1860
7	2	7	5	10	15	19	12
11	9	28	7	15	6	24	11
2904	1472	1989	907	769	870	1749	910
773	1151	525	1314	711	2360	1055	1251
192	125	155	28	413	428	171	355
217	221	63	95	122	126	56	158
380	1087	1451	851	1307	898	818	718
1905	1083	1519	1395	2818	1764	1782	1398
22	8	15	11	4	5	2	6
70	125	179	145	106	114	142	150
157	173	211	161	246	85	217	55
576	664	973	6509	959	3784	6233	29069
222	53	133	70	205	72	44	167
1606	1144	782	308	747	831	385	718
1648	2735	1986	2752	5377	3312	1870	5520
2110	1534	2878	2399	1737	2407	1313	2459
617	367	774	489	613	407	943	341
13	6	8	6	18	35	11	14
785	283	168	684	560	210	649	261
546	116	537	593	532	201	433	233
4418	4105	6939	4395	1727	1042	1863	2707
670	904	1066	1323	1157	840	794	370
945	1389	919	2136	3651	937	925	1302
358	503	257	407	1123	180	569	845
22	26	11	26	31	58	93	81
508	1173	1167	985	1058	721	1125	1065
8	16	6	4	6	13	7	9
2203	343	1115	758	895	1008	1735	1507
19	10	20	3	14	1	4	5
311	51	288	151	105	85	119	338
2	7	5	7	10	15	19	9
1371	2213	1009	464	1835	2347	1021	1422
97	42	30	62	60	4	23	72
2905	2347	2286	6020	2266	2060	4187	3987
20	36	17	17	14	5	8	5
432	264	387	196	141	214	316	160
1815	2825	1241	2575	1384	753	4142	1700
48	26	29	154	39	78	49	222
223	333	129	358	12	13	39	37
31	81	39	60	244	147	220	137
36	8	16	29	15	13	21	15
1967	3824	4284	3437	4000	2641	2456	4844
99	190	222	129	133	39	129	105
2	5	7	15	29	20	67	38
70	51	51	62	103	25	29	64
1645	704	2224	1597	1210	1727	1036	659
1435	1107	1913	1420	1533	1023	1472	1056
1093	1829	1228	707	1012	1782	1682	1329
4369	3281	3881	3960	1340	673	7666	2378
511	887	924	715	453	489	499	247
508	322	377	238	287	432	308	113
718	726	1315	215	199	1573	466	1110
33	68	63	47	176	252	188	42
56	17	21	17	8	14	2	23
1305	1698	1699	1203	1278	1093	1095	814
254	184	137	362	109	436	130	242
852	951	680	501	228	424	297	284
274	294	135	173	3135	1740	1874	1053
81	137	138	141	124	144	135	214
510	382	488	536	221	72	148	107
132	57	51	94	26	127	51	20
52	57	32	54	14	49	31	100
5385	1776	5450	3038	3509	1390	1378	2325
685	337	133	628	183	405	662	440
119	193	118	266	113	147	126	134
187	79	80	166	217	198	279	136
905	775	578	875	387	565	427	595
439	1489	2388	609	3301	2465	511	823
67	119	91	114	141	71	107	247
310	363	1222	789	882	1564	424	663
1140	774	643	438	1260	1166	612	1069
28	18	16	46	27	16	40	41
6284	2875	4545	2608	3721	3386	4040	1502
90	34	115	78	145	137	118	81
493	373	309	637	408	222	497	163
272	177	140	218	307	195	199	152
5259	4497	2615	3339	1176	1096	1633	799
18	32	27	72	71	124	37	24
33	27	22	24	11	7	30	11
2089	2859	2476	1694	577	1706	981	2905
21	46	76	42	7	14	39	22
4604	3035	2845	3638	2435	2777	1755	825
131	109	119	53	106	101	179	89
26	44	26	43	44	61	20	13
969	712	590	484	413	478	653	549
463	725	292	478	443	939	765	1217
33	75	73	39	43	35	54	30
5232	14615	25475	32306	6113	33682	118237	113986
730	368	176	351	430	315	390	301
8	29	12	17	17	9	15	5
217	232	342	240	142	226	87	195
1253	679	699	377	190	848	886	833
147	285	337	142	199	286	229	112
207	192	480	321	629	824	279	119
706	597	510	189	539	393	410	504
733	757	1687	799	1557	2552	1383	1666
1884	3966	2948	2121	1042	7234	886	3287
61	29	15	44	84	33	65	29
956	489	330	268	191	568	387	245
86	76	51	119	21	25	36	30
8	21	2	10	16	20	10	20
301	1795	2837	5768	2372	2718	10472	54251
63	12	83	72	135	67	195	147
334	422	161	265	229	148	699	286
23	16	33	92	20	109	37	57
1221	1268	1920	1221	1871	825	1656	935
305	486	958	147	782	680	746	582
3	9	6	8	10	18	16	15
2122	2083	2356	3634	22881	17139	11068	26260
22	18	22	31	101	67	64	25
274	411	546	198	191	341	547	237
58	102	60	72	23	18	36	21
60	34	275	919	135	443	770	2739
2626	2449	8321	15300	8499	12664	23087	66871
8	15	3	6	11	6	32	6
137	152	63	88	118	69	86	55
49	71	71	54	447	528	212	130
551	2166	1267	1437	1339	460	2520	1438
1315	1332	1093	1812	416	366	312	407
11	9	4	4	9	3	6	11
827	695	763	827	1590	535	2045	714
6051	7265	5307	10880	5392	11656	5818	11900
892	549	669	310	1422	437	1094	736
1361	1055	890	340	1379	464	1234	647
1329	992	957	1359	2233	1215	2221	1231
4	8	5	14	0	11	4	5
18991	17876	5953	17039	10116	17482	5069	3587
30	72	60	40	85	30	27	42
74	19	73	78	76	37	171	70
94	44	67	85	163	85	223	116
4474	2642	2517	2762	1409	972	823	1869
753	1634	4601	3350	1196	1562	3294	2250
241	199	117	270	98	128	123	84
1067	1260	595	1021	8190	7762	3534	7657
16	36	29	21	41	41	63	68
0	8	3	7	7	9	9	9
2084	1553	2992	3219	8906	3579	6766	2162
178	96	221	523	115	76	220	89
1833	2327	2627	3213	5764	2182	2194	1725
3	9	8	6	11	12	11	22
255	419	454	637	305	717	329	353
372	642	136	310	755	148	622	694
39	68	31	96	105	65	113	58
168	623	288	2245	29	153	146	866
1445	2072	1178	1443	1462	349	1009	1570
1062	2390	3127	1473	818	2126	2978	1055
314	2041	4212	3092	2011	2042	13055	41033
2450	1675	627	802	2297	709	647	1068
2657	9119	29551	43859	682	668	2368	15609
5617	6758	5555	2475	6457	10016	3709	5997
324	176	199	458	1337	908	1436	799
14	23	10	11	12	20	62	5
28	42	25	12	25	33	31	23
21	35	17	17	109	79	108	38
28	37	19	39	69	35	17	25
21	19	25	17	22	23	19	19
1430	3230	14484	17632	1284	3057	21364	39967
81	119	86	70	112	49	214	110
871	507	606	1097	127	68	190	79
58	128	140	34	31	75	61	27
451	579	1654	475	647	768	779	384
969	700	1959	2252	2556	2098	1173	674
78	73	94	51	98	173	26	66
1027	467	1263	157	345	761	209	1685
21	10	26	40	55	15	31	37
243	361	110	141	160	120	78	83
167	208	182	214	25	5	76	101
20	16	11	25	87	20	24	42
239	158	97	156	358	223	224	68
4503	2653	5998	2143	3324	2738	1972	3857
50	42	42	15	21	8	66	48
352	131	237	116	138	160	42	134
29	116	550	1212	558	429	2917	4130
312	207	263	295	100	117	300	44
116	56	24	65	62	21	45	121
6	3	3	6	3	4	0	9
93	233	232	234	544	358	391	143
684	680	945	747	394	663	234	1498
194	214	242	273	205	309	602	420
78	114	34	137	238	133	211	240
52	41	59	96	215	265	134	137
127	240	111	87	65	120	171	36
241	421	862	572	1173	609	926	837
1728	1831	3283	2309	922	1100	760	1145
1155	1580	1018	2154	2230	1332	1174	1573
9532	8774	15238	20469	32209	10245	10856	20875
931	449	1626	477	620	449	581	651
566	154	360	227	171	296	201	156
156	79	113	111	145	96	85	131
99	134	109	390	138	144	194	107
1724	1490	1421	921	1519	692	1216	785
429	228	270	466	288	398	147	120
18	30	40	25	28	44	67	37
698	1176	1131	1224	365	391	1264	1215
80	116	234	72	193	78	236	319
1282	1010	941	978	1418	684	1120	1286
204	213	334	216	394	767	406	614
1482	1518	2207	3273	329	459	764	607
584	923	205	514	1159	478	373	349
1065	733	1173	774	235	579	303	406
557	887	481	1357	1518	667	1481	353
23	24	26	11	194	70	127	93
43	35	90	22	62	40	54	62
21	24	19	26	31	9	41	10
4462	9012	2207	6134	7333	4867	4806	5269
13130	7097	11285	11360	4551	4150	6316	5398
0	6	17	2	1	3	1	3
171	93	106	137	178	135	204	76
173	90	269	117	241	255	360	182
215	228	1017	3645	935	2549	3299	56239
219	281	326	146	171	173	220	268
43	1592	1825	3870	1101	2983	9855	35762
3	18	17	18	12	11	8	11
966	515	1471	4051	1459	99	1051	944
60	96	52	77	34	35	36	15
45	24	15	15	31	30	50	27
405	176	289	257	437	119	504	421
41	110	106	110	45	52	211	113
57	164	130	375	431	128	599	738
226	131	245	194	70	216	142	263
130	89	88	65	75	73	120	72
758	586	552	276	356	250	239	567
924	389	644	572	2423	1400	1105	2334
20	82	154	81	46	36	41	51
59	87	49	152	47	51	89	41
842	601	719	767	809	858	599	1236
480	692	504	494	1578	829	1244	1092
2299	683	1125	2618	1576	1784	2048	2026
182	199	200	193	148	78	47	56
10	11	4	17	2	19	7	11
549	624	961	253	1804	98	628	381
437	629	853	660	318	598	776	513
470	619	450	556	453	285	555	903
15	65	43	23	73	44	31	31
4980	4220	4313	2778	3290	2212	3727	3837
56	27	66	42	2	4	9	4
174	207	68	94	82	73	88	158
2926	20996	15819	90256	15100	74882	234450	373922
1535	3646	1924	3683	1070	1993	2015	1384
14	27	26	19	37	36	38	54
4892	5190	6715	3795	2163	2557	3520	3192
269	501	249	293	463	549	469	762
212	237	101	116	1584	1079	714	444
331	281	1310	620	602	384	640	325
1141	435	531	375	174	85	213	557
310	261	357	243	277	474	324	297
269	312	347	182	371	1249	1209	470
3267	2065	2592	2359	2126	5770	9904	2614
120	121	320	1465	253	1318	1843	4594
42	41	34	21	13	66	29	15
1332	1352	1765	1738	694	520	1412	1579
421	714	264	1086	264	992	796	321
255	468	328	556	525	327	359	667
228	264	283	150	168	185	106	190
1105	1171	1323	1130	811	878	561	532
9	245	591	2583	180	588	1573	4820
1185	765	2073	1842	2125	1881	1666	1253
402	232	712	695	352	703	576	594
63	21	133	85	79	31	121	77
126	20	96	31	21	76	63	24
710	528	733	579	906	776	1023	563
146	222	487	282	518	660	835	279
43	34	35	25	31	55	47	39
512	725	498	1319	2898	2769	1071	1628
113	134	112	65	69	81	94	61
9	9	13	8	4	11	4	8
63	15	85	20	103	97	100	167
264	1324	340	732	3234	1310	1629	3186
7	7	9	3	6	8	10	16
1167	546	777	1436	772	229	784	964
124	33	39	21	41	12	32	99
9	6	2	9	4	8	4	9
924	1005	792	1270	1251	1096	1181	568
574	418	834	189	397	241	517	595
221	168	45	203	674	246	348	275
20	19	19	19	14	14	11	6
691	365	843	1239	258	440	1050	963
1201	841	1574	1168	1178	547	649	277
